Species,PriceCateg,Weight,Length
Acestrorhynchus falcirostris,unknown,NA,45
Acestrorhynchus grandoculis,unknown,NA,10.8
Acestrorhynchus heterolepis,unknown,NA,40.8
Acestrorhynchus isalineae,unknown,NA,10.1
Acestrorhynchus lacustris,unknown,NA,27
Acestrorhynchus maculipinna,unknown,NA,7.9
Acestrorhynchus microlepis,unknown,230,37
Acestrorhynchus minimus,unknown,NA,6.3
Acestrorhynchus nasutus,unknown,NA,6.9
Acestrorhynchus pantaneiro,unknown,396,35.2
Acheilognathus asmussii,unknown,NA,16
Acheilognathus barbatulus,unknown,NA,8.4
Acheilognathus barbatus,unknown,NA,9
Acheilognathus binidentatus,unknown,NA,NA
Acheilognathus brevicaudatus,unknown,NA,NA
Acheilognathus changtingensis,NA,NA,6.364
Acheilognathus coreanus,NA,NA,10
Acheilognathus cyanostigma,unknown,NA,6
Acheilognathus deignani,unknown,NA,5.2
Acheilognathus elongatoides,unknown,NA,9.8
Acheilognathus elongatus,unknown,NA,19.8
Acheilognathus fasciodorsalis,unknown,NA,NA
Acheilognathus gracilis,unknown,NA,5.6
Acheilognathus hondae,unknown,NA,NA
Acheilognathus hypselonotus,unknown,NA,16.5
Acheilognathus imberbis,unknown,NA,8
Acheilognathus imfasciodorsalis,unknown,NA,NA
Acheilognathus intermedia,NA,NA,13
Acheilognathus kyphus,unknown,NA,NA
Acheilognathus longibarbatus,unknown,NA,9.2
Acheilognathus longipinnis,unknown,NA,8
Acheilognathus macromandibularis,unknown,NA,5.19
Acheilognathus macropterus,unknown,NA,27.5
Acheilognathus majusculus,unknown,NA,10.04
Acheilognathus melanogaster,unknown,NA,NA
Acheilognathus meridianus,unknown,23.9,11.9
Acheilognathus microphysa,unknown,NA,6.75
Acheilognathus nguyenvanhaoi,NA,NA,NA
Acheilognathus omeiensis,unknown,NA,7.22
Acheilognathus peihoensis,unknown,NA,NA
Acheilognathus polylepis,unknown,NA,9.5
Acheilognathus polyspinus,unknown,NA,NA
Acheilognathus rhombeus,unknown,NA,NA
Acheilognathus striatus,NA,NA,5.43
Acheilognathus tabira,unknown,NA,7.93
Acheilognathus taenianalis,unknown,NA,11.1
Acheilognathus tonkinensis,unknown,NA,9.2
Acheilognathus typus,unknown,NA,NA
Acheilognathus yamatsutae,unknown,NA,16
Achiroides leucorhynchos,very high,NA,8
Achiroides melanorhynchus,very high,NA,14
Achiropsetta tricholepis,very high,NA,39
Achirus achirus,very high,1000,37
Achirus declivis,very high,90.2,18.7
Achirus klunzingeri,very high,NA,23
Achirus lineatus,very high,29.5,33.1
Achirus mazatlanus,very high,NA,22.5
Achirus mucuri,NA,NA,9.03
Achirus novoae,very high,NA,10.6
Achirus scutum,very high,NA,28
Achirus zebrinus,very high,NA,NA
Achoerodus gouldii,very high,NA,175
Achoerodus viridis,very high,NA,62
Achondrostoma arcasii,unknown,NA,25
Achondrostoma occidentale,unknown,NA,9.5
Achondrostoma oligolepis,unknown,NA,25
Achondrostoma salmantinum,NA,NA,6.82
Acinocheirodon melanogramma,unknown,NA,3.77
Acipenser baerii,unknown,210000,200
Acipenser brevirostrum,unknown,23000,143
Acipenser dabryanus,unknown,NA,250
Acipenser fulvescens,unknown,125000,274
Acipenser gueldenstaedtii,unknown,115000,236
Acipenser medirostris,unknown,159000,270
Acipenser mikadoi,unknown,NA,150
Acipenser naccarii,unknown,25000,200
Acipenser nudiventris,unknown,80000,211
Acipenser oxyrinchus,unknown,NA,403
Acipenser persicus,unknown,70000,255
Acipenser ruthenus,unknown,16000,125
Acipenser schrenckii,unknown,190000,300
Acipenser sinensis,unknown,600000,130
Acipenser stellatus,unknown,80000,250
Acipenser sturio,unknown,400000,600
Acipenser transmontanus,unknown,816000,610
Acnodon normani,unknown,110,19.9
Acnodon oligacanthus,unknown,NA,20
Acnodon senai,unknown,NA,13.2
Acreichthys hajam,unknown,NA,7
Acreichthys radiatus,unknown,NA,7
Acreichthys tomentosus,unknown,NA,14
Acrobrycon ipanquianus,unknown,NA,12
Acrobrycon ortii,NA,NA,6.13
Acrobrycon starnesi,NA,NA,7.25
Acrocheilus alutaceus,unknown,NA,30
Acrochordonichthys chamaeleon,unknown,NA,9.9
Acrochordonichthys falcifer,unknown,NA,9.21
Acrochordonichthys guttatus,unknown,NA,9.77
Acrochordonichthys gyrinus,unknown,NA,10
Acrochordonichthys ischnosoma,unknown,NA,10.1
Acrochordonichthys mahakamensis,unknown,NA,8.32
Acrochordonichthys pachyderma,unknown,NA,14.48
Acrochordonichthys rugosus,unknown,NA,11
Acrochordonichthys septentrionalis,unknown,NA,10.13
Acrochordonichthys strigosus,unknown,NA,8.35
Acromycter alcocki,medium,NA,25.3
Acromycter atlanticus,medium,NA,29.5
Acromycter longipectoralis,medium,NA,NA
Acromycter nezumi,medium,NA,40
Acromycter perturbator,medium,NA,NA
Acropoma argentistigma,unknown,NA,NA
Acropoma boholensis,unknown,NA,13.2
Acropoma hanedai,unknown,NA,13.52
Acropoma japonicum,unknown,NA,20
Acropoma lecorneti,unknown,NA,35
Acropoma profundum,NA,NA,NA
Acrossocheilus aluoiensis,unknown,NA,NA
Acrossocheilus baolacensis,unknown,NA,NA
Acrossocheilus beijiangensis,unknown,NA,13.1
Acrossocheilus clivosius,unknown,84.9,20
Acrossocheilus fasciatus,unknown,NA,19.16
Acrossocheilus hemispinus,unknown,NA,20
Acrossocheilus ikedai,unknown,NA,10.72
Acrossocheilus iridescens,unknown,NA,29.7
Acrossocheilus jishouensis,unknown,NA,16.94
Acrossocheilus kreyenbergii,unknown,NA,15.45
Acrossocheilus lamus,unknown,NA,NA
Acrossocheilus longipinnis,unknown,NA,10
Acrossocheilus macrophthalmus,unknown,NA,NA
Acrossocheilus malacopterus,unknown,NA,15.29
Acrossocheilus microstoma,NA,NA,NA
Acrossocheilus monticola,unknown,NA,18
Acrossocheilus multistriatus,NA,NA,11.709
Acrossocheilus paradoxus,unknown,111,22.5
Acrossocheilus parallens,unknown,115.9,21
Acrossocheilus rendahli,unknown,NA,17.3
Acrossocheilus spinifer,unknown,NA,15.29
Acrossocheilus wenchowensis,unknown,NA,15.5
Acrossocheilus wuyiensis,NA,NA,15.9
Acrossocheilus xamensis,unknown,NA,23.53
Acrossocheilus yalyensis,unknown,NA,NA
Acrossocheilus yunnanensis,unknown,NA,26.3
Acroteriobatus annulatus,low,NA,140
Acroteriobatus blochii,low,NA,100
Acroteriobatus leucospilus,low,NA,120
Acroteriobatus ocellatus,low,NA,81
Acroteriobatus omanensis,NA,NA,60
Acroteriobatus salalah,low,NA,78
Acroteriobatus variegatus,low,NA,75
Acroteriobatus zanzibarensis,low,NA,75
Aculeola nigra,unknown,NA,60
Acyrtops amplicirrus,unknown,NA,1.86
Acyrtops beryllinus,unknown,NA,2.5
Acyrtus artius,unknown,NA,3
Acyrtus lanthanum,NA,NA,2.38
Acyrtus pauciradiatus,unknown,NA,1.63
Acyrtus rubiginosus,unknown,NA,3.5
Adelosebastes latens,unknown,NA,30
Adelotremus deloachi,NA,NA,3.5
Adelotremus leptus,NA,NA,NA
Adontosternarchus balaenops,unknown,NA,25
Adontosternarchus clarkae,unknown,NA,18.6
Adontosternarchus devenanzii,unknown,NA,18.6
Adontosternarchus duartei,NA,NA,18.5
Adontosternarchus nebulosus,NA,NA,21.8
Adontosternarchus sachsi,unknown,NA,32.2
Adrianichthys kruyti,unknown,NA,16
Adrianichthys oophorus,unknown,NA,8.5
Adrianichthys poptae,unknown,NA,17.1
Adrianichthys roseni,unknown,NA,9
Adventor elongatus,unknown,NA,NA
Aeoliscus punctulatus,unknown,NA,15
Aeoliscus strigatus,unknown,NA,15
Aequidens chimantanus,unknown,NA,10.2
Aequidens diadema,unknown,NA,11.8
Aequidens epae,unknown,NA,11.3
Aequidens gerciliae,unknown,NA,12.8
Aequidens mauesanus,unknown,NA,13.4
Aequidens metae,unknown,NA,12.5
Aequidens michaeli,unknown,NA,20
Aequidens pallidus,unknown,NA,14.3
Aequidens paloemeuensis,unknown,NA,9.5
Aequidens patricki,unknown,NA,11.6
Aequidens plagiozonatus,unknown,NA,10.3
Aequidens potaroensis,unknown,NA,10
Aequidens rondoni,unknown,NA,9.7
Aequidens tetramerus,unknown,NA,16.2
Aequidens tubicen,unknown,NA,11.6
Aequidens viridis,unknown,NA,16.5
Aesopia cornuta,very high,NA,25
Aetapcus maculatus,unknown,NA,21
Aethaloperca rogaa,very high,NA,60
Aetheliparis taurocanis,NA,NA,NA
Aethotaxis mitopteryx mitopteryx,NA,NA,42
Aethotaxis mitopteryx pawsoni,high,NA,18.5
Aetobatus flagellum,medium,13930,72
Aetobatus narinari,medium,230000,330
Aetobatus narutobiei,NA,14400,100
Aetobatus ocellatus,medium,200000,152.8
Aetomylaeus asperrimus,medium,NA,79
Aetomylaeus bovinus,medium,116000,NA
Aetomylaeus caeruleofasciatus,NA,NA,59.1
Aetomylaeus maculatus,medium,NA,200
Aetomylaeus milvus,medium,NA,NA
Aetomylaeus nichofii,medium,NA,65
Aetomylaeus vespertilio,medium,NA,240
Afronandus sheljuzhkoi,unknown,NA,4.2
Afronemacheilus abyssinicus,unknown,NA,5.07
Afronemacheilus kaffa,NA,NA,5.53
Afurcagobius suppositus,very high,NA,11
Afurcagobius tamarensis,very high,NA,11
Agamyxis albomaculatus,unknown,NA,15
Agamyxis pectinifrons,unknown,NA,15
Ageneiosus inermis,unknown,3080,64.8
Ageneiosus magoi,unknown,NA,18.1
Ageneiosus marmoratus,unknown,NA,18.5
Ageneiosus militaris,unknown,135,30
Ageneiosus pardalis,unknown,972,46.2
Ageneiosus polystictus,unknown,NA,45
Ageneiosus ucayalensis,unknown,276,35.2
Ageneiosus uranophthalmus,NA,NA,NA
Ageneiosus vittatus,unknown,NA,22
Agoniates anchovia,unknown,NA,14.8
Agoniates halecinus,unknown,115,26.8
Agonomalus jordani,unknown,NA,18
Agonomalus mozinoi,unknown,NA,8.9
Agonomalus proboscidalis,unknown,NA,20
Agonopsis asperoculis,unknown,NA,NA
Agonopsis chiloensis,unknown,NA,12.5
Agonopsis sterletus,unknown,NA,15
Agonopsis vulsa,unknown,NA,20
Agonostomus catalai,medium,NA,20
Agonostomus monticola,medium,NA,36
Agonostomus telfairii,medium,NA,75
Agonus cataphractus,unknown,NA,21
Agosia chrysogaster,unknown,NA,10
Agrostichthys parkeri,unknown,NA,300
Aguarunichthys inpai,unknown,NA,42
Aguarunichthys tocantinsensis,unknown,NA,31.7
Aguarunichthys torosus,unknown,NA,34.6
Ahlia egmontis,unknown,NA,43.3
Ahliesaurus berryi,unknown,NA,26.9
Ahliesaurus brevis,unknown,NA,21
Aiakas kreffti,unknown,NA,30.1
Aiakas zinorum,unknown,NA,8.7
Aidablennius sphynx,unknown,NA,8
Ailia coila,unknown,NA,30
Ailiichthys punctata,unknown,NA,10.08
Aioliops brachypterus,unknown,NA,2.4
Aioliops megastigma,unknown,NA,3
Aioliops novaeguineae,unknown,NA,2.3
Aioliops tetrophthalmus,unknown,NA,NA
Akarotaxis nudiceps,unknown,NA,13
Akawaio penak,NA,NA,21.7
Akihito futuna,NA,NA,6
Akihito vanuatu,NA,NA,4.32
Akko brevis,very high,NA,NA
Akko dionaea,very high,NA,8.05
Akko rossi,very high,NA,9
Akrokolioplax bicornis,unknown,NA,16
Akysis bilustris,NA,NA,2.53
Akysis brachybarbatus,unknown,NA,3.41
Akysis clavulus,unknown,NA,3.5
Akysis clinatus,unknown,NA,3.3
Akysis ephippifer,unknown,NA,3.36
Akysis fontaneus,NA,NA,2.35
Akysis fuliginatus,unknown,NA,2.15
Akysis galeatus,NA,NA,2.81
Akysis hendricksoni,unknown,NA,4.87
Akysis heterurus,unknown,NA,NA
Akysis longifilis,unknown,NA,5.31
Akysis maculipinnis,unknown,NA,3.13
Akysis manipurensis,unknown,NA,NA
Akysis microps,unknown,NA,2.88
Akysis pictus,unknown,NA,5.92
Akysis portellus,NA,NA,3.43
Akysis prashadi,unknown,NA,6.21
Akysis pulvinatus,NA,NA,2.96
Akysis recavus,unknown,NA,4
Akysis scorteus,NA,NA,3.2
Akysis variegatus,unknown,NA,4.3
Akysis varius,unknown,NA,4
Akysis vespa,unknown,NA,3.14
