Species,PriceCateg,Weight,Length
Maylandia mossambica,NA,NA,7.97
Maylandia nigrodorsalis,NA,NA,8.33
Maylandia nkhunguensis,NA,NA,7.33
Maylandia pambazuko,NA,NA,7.59
Maylandia phaeos,unknown,NA,8.65
Maylandia pulpican,unknown,NA,7.13
Maylandia pyrsonotos,unknown,NA,8.64
Maylandia sciasma,NA,NA,7.12
Maylandia tarakiki,NA,NA,11.93
Maylandia usisyae,NA,NA,7.48
Maylandia xanstomachus,unknown,NA,12.5
Maylandia xanthos,NA,NA,4.93
Maylandia zebra,unknown,NA,11.3
Maynea puncta,unknown,NA,28.2
Mazarunia charadrica,NA,NA,8.41
Mazarunia mazarunii,unknown,NA,5.3
Mazarunia pala,NA,NA,7.42
Mccoskerichthys sandae,unknown,NA,8
Mchenga conophoros,unknown,NA,11.1
Mchenga cyclicos,unknown,NA,12.12
Mchenga eucinostomus,unknown,NA,14
Mchenga flavimanus,unknown,NA,12
Mchenga inornata,unknown,NA,10
Mchenga thinos,unknown,NA,7.84
Meadia abyssalis,unknown,NA,73
Meadia roseni,unknown,NA,74.5
Mecaenichthys immaculatus,unknown,NA,12
Meda fulgida,unknown,NA,9.1
Medialuna ancietae,unknown,15000,NA
Medialuna californiensis,unknown,NA,48
Medusablennius chani,NA,NA,1.54
Megachasma pelagios,unknown,NA,549
Megadontognathus cuyuniense,unknown,NA,23.8
Megadontognathus kaitukaensis,unknown,NA,16
Megalancistrus barrae,unknown,NA,38.5
Megalancistrus parananus,unknown,NA,58.8
Megalaspis cordyla,high,4000,80
Megalechis picta,unknown,350,15.5
Megalechis thoracata,unknown,NA,12.4
Megaleporinus brinco,NA,NA,18.72
Megaleporinus conirostris,unknown,NA,36.5
Megaleporinus elongatus,unknown,NA,50
Megaleporinus garmani,unknown,NA,NA
Megaleporinus macrocephalus,unknown,5283,68.4
Megaleporinus muyscorum,unknown,NA,NA
Megaleporinus obtusidens,unknown,5752,76
Megaleporinus piavussu,NA,NA,38.02
Megaleporinus reinhardti,unknown,NA,17
Megaleporinus trifasciatus,unknown,NA,23.8
Megalobrama amblycephala,unknown,NA,200
Megalobrama elongata,unknown,NA,32
Megalobrama mantschuricus,unknown,NA,37.7
Megalobrama pellegrini,unknown,NA,25.1
Megalobrama terminalis,unknown,4000,60
Megalocentor echthrus,unknown,NA,8.79
Megalocottus platycephalus,low,1060,42
Megalocottus taeniopterus,low,NA,NA
Megalodoras guayoensis,unknown,NA,53
Megalodoras uranoscopus,unknown,2860,53
Megalomycter teevani,unknown,NA,NA
Megalonema amaxanthum,NA,NA,10.6
Megalonema argentinum,unknown,NA,27.1
Megalonema orixanthum,NA,NA,11.58
Megalonema pauciradiatum,unknown,NA,3.8
Megalonema platanum,unknown,387.1,40
Megalonema platycephalum,unknown,NA,30
Megalonema psammium,unknown,NA,NA
Megalonema xanthum,unknown,NA,15.93
Megalonibea fusca,medium,NA,143
Megalops atlanticus,medium,161000,250
Megalops cyprinoides,low,18000,150
Meganthias carpenteri,NA,NA,30.1
Meganthias filiferus,NA,NA,29.3
Meganthias kingyo,very high,NA,27.76
Meganthias natalensis,very high,NA,37.4
Megarasbora elanga,unknown,NA,21
Megatrygon microps,low,NA,320
Megupsilon aporus,unknown,NA,4
Meiacanthus abditus,unknown,NA,11
Meiacanthus abruptus,NA,NA,3.66
Meiacanthus anema,unknown,NA,7.2
Meiacanthus atrodorsalis,unknown,NA,11
Meiacanthus bundoon,unknown,NA,9.5
Meiacanthus crinitus,unknown,NA,10
Meiacanthus cyanopterus,NA,NA,4.53
Meiacanthus ditrema,unknown,NA,6.5
Meiacanthus erdmanni,NA,NA,3.58
Meiacanthus fraseri,unknown,NA,5.43
Meiacanthus geminatus,unknown,NA,4.71
Meiacanthus grammistes,unknown,NA,11
Meiacanthus kamoharai,unknown,NA,6
Meiacanthus limbatus,unknown,NA,3.7
Meiacanthus lineatus,unknown,NA,9.5
Meiacanthus luteus,unknown,NA,10.3
Meiacanthus mossambicus,unknown,NA,10
Meiacanthus naevius,unknown,NA,3.58
Meiacanthus nigrolineatus,unknown,NA,9.5
Meiacanthus oualanensis,unknown,NA,10
Meiacanthus phaeus,unknown,NA,NA
Meiacanthus procne,unknown,NA,7
Meiacanthus reticulatus,unknown,NA,6.28
Meiacanthus smithi,unknown,NA,8.5
Meiacanthus tongaensis,unknown,NA,10
Meiacanthus urostigma,unknown,NA,8
Meiacanthus vicinus,unknown,NA,4.13
Meiacanthus vittatus,unknown,NA,8.5
Mekongina bibarba,unknown,NA,NA
Mekongina erythrospila,unknown,NA,45
Mekongina lancangensis,NA,NA,5.81
Melamphaes acanthomus,unknown,NA,NA
Melamphaes contradictorius,NA,NA,3.1
Melamphaes danae,unknown,NA,2.1
Melamphaes ebelingi,unknown,NA,13.74
Melamphaes eulepis,unknown,NA,4.6
Melamphaes falsidicus,NA,NA,8.7
Melamphaes hubbsi,unknown,NA,2.5
Melamphaes indicus,unknown,NA,NA
Melamphaes janae,unknown,NA,8.6
Melamphaes laeviceps,unknown,NA,NA
Melamphaes leprus,unknown,NA,11.25
Melamphaes longivelis,unknown,NA,10.6
Melamphaes lugubris,unknown,NA,8.5
Melamphaes macrocephalus,unknown,NA,12.8
Melamphaes manifestus,NA,NA,8.7
Melamphaes microps,unknown,NA,9.6
Melamphaes nikolayi,NA,NA,6.15
Melamphaes occlusus,NA,NA,11.7
Melamphaes pachystomus,NA,NA,7.15
Melamphaes parini,unknown,NA,NA
Melamphaes parvus,unknown,NA,NA
Melamphaes polylepis,unknown,NA,6.8
Melamphaes proximus,NA,NA,9.3
Melamphaes pumilus,unknown,NA,2.3
Melamphaes simus,unknown,NA,2.9
Melamphaes spinifer,unknown,NA,NA
Melamphaes suborbitalis,unknown,NA,10
Melamphaes succedaneus,NA,NA,10.6
Melamphaes typhlops,unknown,NA,7.8
Melamphaes xestoachidus,NA,NA,8.7
Melanocetus eustalus,unknown,NA,NA
Melanocetus johnsonii,unknown,NA,2.9
Melanocetus murrayi,unknown,NA,2
Melanocetus niger,unknown,NA,11
Melanocetus polyactis,NA,NA,1.95
Melanocetus rossi,unknown,NA,NA
Melanocharacidium auroradiatum,unknown,NA,4.33
Melanocharacidium blennioides,unknown,NA,5.5
Melanocharacidium compressus,unknown,NA,3.06
Melanocharacidium depressum,unknown,NA,3.4
Melanocharacidium dispilomma,unknown,NA,5
Melanocharacidium melanopteron,unknown,NA,7.19
Melanocharacidium nigrum,unknown,NA,6.7
Melanocharacidium pectorale,unknown,NA,4.36
Melanocharacidium rex,unknown,NA,9.85
Melanochromis auratus,unknown,NA,11
Melanochromis baliodigma,unknown,NA,8.55
Melanochromis chipokae,unknown,NA,12
Melanochromis dialeptos,unknown,NA,7.95
Melanochromis heterochromis,unknown,NA,9.68
Melanochromis kaskazini,NA,NA,10.42
Melanochromis lepidiadaptes,unknown,NA,8.72
Melanochromis loriae,unknown,NA,11.4
Melanochromis melanopterus,unknown,NA,11.4
Melanochromis mossambiquensis,NA,NA,7.61
Melanochromis mpoto,NA,NA,9.11
Melanochromis robustus,unknown,NA,12.42
Melanochromis simulans,unknown,NA,7.4
Melanochromis vermivorus,unknown,NA,7.4
Melanochromis wochepa,NA,NA,6.51
Melanogrammus aeglefinus,low,16800,112
Melanolagus bericoides,unknown,NA,20
Melanonus gracilis,NA,NA,18.7
Melanonus zugmayeri,NA,NA,28
Melanorhinus boekei,unknown,NA,NA
Melanorhinus cyanellus,unknown,NA,10
Melanorhinus microps,unknown,NA,7.5
Melanorivulus apiamici,unknown,NA,3
Melanorivulus atlanticus,NA,NA,1.78
Melanorivulus bororo,NA,NA,2.46
Melanorivulus crixas,NA,NA,NA
Melanorivulus cyanopterus,unknown,NA,2.76
Melanorivulus dapazi,unknown,NA,3.17
Melanorivulus decoratus,unknown,NA,5
Melanorivulus egens,unknown,NA,NA
Melanorivulus faucireticulatus,NA,NA,3.03
Melanorivulus giarettai,NA,NA,3.23
Melanorivulus illuminatus,NA,NA,2.88
Melanorivulus imperatrizensis,NA,NA,3.18
Melanorivulus jalapensis,NA,NA,NA
Melanorivulus javahe,NA,NA,NA
Melanorivulus karaja,NA,NA,NA
Melanorivulus kayabi,NA,NA,2.99
Melanorivulus kayapo,unknown,NA,NA
Melanorivulus kunzei,NA,NA,3.3
Melanorivulus leali,NA,NA,3.2
Melanorivulus linearis,NA,NA,3.01
Melanorivulus litteratus,unknown,NA,2.81
Melanorivulus megaroni,NA,NA,NA
Melanorivulus modestus,unknown,NA,4
Melanorivulus nigromarginatus,NA,NA,3.56
Melanorivulus nigropunctatus,NA,NA,2.41
Melanorivulus ofaie,NA,NA,3.05
Melanorivulus paracatuensis,unknown,NA,NA
Melanorivulus paresi,NA,NA,2.58
Melanorivulus parnaibensis,unknown,NA,NA
Melanorivulus pictus,unknown,NA,5
Melanorivulus pindorama,NA,NA,NA
Melanorivulus pinima,unknown,NA,3
Melanorivulus planaltinus,NA,NA,3.11
Melanorivulus proximus,NA,NA,3
Melanorivulus punctatus,unknown,NA,3.5
Melanorivulus rossoi,unknown,NA,NA
Melanorivulus rubromarginatus,NA,NA,NA
Melanorivulus rubroreticulatus,NA,NA,2.57
Melanorivulus rutilicaudus,unknown,NA,NA
Melanorivulus salmonicaudus,NA,NA,NA
Melanorivulus scalaris,unknown,NA,NA
Melanorivulus schuncki,NA,NA,2.44
Melanorivulus ubirajarai,NA,NA,2.99
Melanorivulus violaceus,unknown,NA,5
Melanorivulus vittatus,unknown,NA,NA
Melanorivulus zygonectes,unknown,NA,4
Melanostigma atlanticum,unknown,NA,15
Melanostigma bathium,unknown,NA,11.4
Melanostigma gelatinosum,unknown,NA,29
Melanostigma inexpectatum,unknown,NA,10.1
Melanostigma kharini,NA,NA,16.4
Melanostigma orientale,unknown,NA,NA
Melanostigma pammelas,unknown,NA,11
Melanostigma vitiazi,unknown,NA,17
Melanostomias bartonbeani,unknown,NA,26.2
Melanostomias biseriatus,unknown,NA,25
Melanostomias globulifer,unknown,NA,NA
Melanostomias macrophotus,unknown,NA,23
Melanostomias margaritifer,unknown,NA,8
Melanostomias melanopogon,unknown,NA,15.3
Melanostomias melanops,unknown,NA,26
Melanostomias niger,unknown,NA,26
Melanostomias nigroaxialis,unknown,NA,NA
Melanostomias paucilaternatus,unknown,NA,20.1
Melanostomias pauciradius,unknown,NA,NA
Melanostomias pollicifer,unknown,NA,NA
Melanostomias stewarti,unknown,NA,NA
Melanostomias tentaculatus,unknown,NA,24
Melanostomias valdiviae,unknown,NA,24.1
Melanostomias vierecki,unknown,NA,NA
Melanotaenia affinis,unknown,NA,11.5
Melanotaenia ajamaruensis,unknown,NA,8.5
Melanotaenia albimarginata,NA,NA,9.09
Melanotaenia ammeri,NA,NA,8.22
Melanotaenia angfa,unknown,NA,12
Melanotaenia arfakensis,unknown,NA,8
Melanotaenia arguni,NA,NA,7.26
Melanotaenia aruensis,NA,NA,7.64
Melanotaenia australis,unknown,NA,11
Melanotaenia batanta,unknown,NA,8.74
Melanotaenia boesemani,unknown,NA,9
Melanotaenia caerulea,unknown,NA,6.15
Melanotaenia catherinae,unknown,NA,7.5
Melanotaenia corona,unknown,NA,10
Melanotaenia duboulayi,unknown,NA,11
Melanotaenia eachamensis,unknown,NA,6.5
Melanotaenia ericrobertsi,NA,NA,NA
Melanotaenia exquisita,unknown,NA,7.5
Melanotaenia fasinensis,NA,NA,NA
Melanotaenia flavipinnis,NA,NA,7.15
Melanotaenia fluviatilis,unknown,NA,11
Melanotaenia fredericki,unknown,NA,9
Melanotaenia garylangei,NA,NA,7.8
Melanotaenia goldiei,unknown,NA,11.5
Melanotaenia gracilis,unknown,NA,7.5
Melanotaenia herbertaxelrodi,unknown,NA,9
Melanotaenia irianjaya,unknown,NA,8.5
Melanotaenia iris,unknown,NA,10
Melanotaenia japenensis,unknown,NA,7.7
Melanotaenia kamaka,unknown,NA,6.05
Melanotaenia kokasensis,NA,NA,NA
Melanotaenia kolaensis,NA,NA,7.88
Melanotaenia lacustris,unknown,NA,10
Melanotaenia lakamora,unknown,NA,5.49
Melanotaenia laticlavia,NA,NA,6.96
Melanotaenia maccullochi,unknown,NA,7
Melanotaenia mairasi,NA,NA,NA
Melanotaenia maylandi,unknown,NA,9
Melanotaenia misoolensis,unknown,NA,6
Melanotaenia monticola,unknown,NA,8
Melanotaenia mubiensis,unknown,NA,9.26
Melanotaenia multiradiata,NA,NA,12.25
Melanotaenia nigrans,unknown,NA,10
Melanotaenia ogilbyi,unknown,NA,7
Melanotaenia oktediensis,unknown,NA,10
Melanotaenia papuae,unknown,NA,6.5
Melanotaenia parkinsoni,unknown,NA,11
Melanotaenia parva,unknown,NA,5.5
Melanotaenia patoti,NA,NA,8.79
Melanotaenia picta,NA,NA,9.32
Melanotaenia pierucciae,unknown,NA,5.87
Melanotaenia pimaensis,unknown,NA,10
Melanotaenia praecox,unknown,NA,5
Melanotaenia pygmaea,unknown,NA,5.5
Melanotaenia rubripinnis,unknown,NA,10.23
Melanotaenia rubrivittata,NA,NA,4.87
Melanotaenia rubrostriata,unknown,NA,12.5
Melanotaenia salawati,NA,NA,NA
Melanotaenia senckenbergianus,NA,NA,6.35
Melanotaenia sexlineata,unknown,NA,7.3
Melanotaenia solata,unknown,NA,12
Melanotaenia splendida,unknown,NA,20
Melanotaenia sylvatica,unknown,NA,5.5
Melanotaenia synergos,NA,NA,6.37
Melanotaenia trifasciata,unknown,NA,13
Melanotaenia urisa,NA,NA,8.78
Melanotaenia utcheensis,unknown,NA,NA
Melanotaenia vanheurni,unknown,NA,16
Melanotaenia veoliae,NA,NA,9.23
Melanotaenia wanoma,NA,NA,7.28
Melanotaenia wokamensis,NA,NA,7.56
Melapedalion breve,unknown,NA,22.7
Melichthys indicus,medium,NA,25
Melichthys niger,medium,NA,50
Melichthys vidua,medium,NA,40
Melodichthys hadrocephalus,unknown,NA,NA
Membras analis,unknown,NA,12
Membras argentea,unknown,NA,NA
Membras dissimilis,NA,NA,NA
Membras gilberti,unknown,NA,20
Membras martinica,unknown,NA,12.5
Membras vagrans,unknown,NA,NA
Mendosoma lineatum,very high,NA,40
Mene maculata,medium,NA,30
Menidia audens,NA,NA,15
Menidia beryllina,unknown,NA,15
Menidia clarkhubbsi,unknown,NA,NA
Menidia colei,unknown,NA,4.2
Menidia conchorum,unknown,NA,5
Menidia extensa,unknown,NA,8
Menidia menidia,low,NA,15
Menidia peninsulae,unknown,NA,15
Menticirrhus americanus,medium,1070,50
Menticirrhus elongatus,medium,NA,52
Menticirrhus littoralis,low,1380,48.3
Menticirrhus nasus,medium,NA,52.6
Menticirrhus ophicephalus,medium,NA,45
Menticirrhus paitensis,medium,NA,40
Menticirrhus panamensis,medium,NA,75
Menticirrhus saxatilis,medium,1110,46
Menticirrhus undulatus,medium,3900,71
Mentodus bythios,unknown,NA,18.1
Mentodus crassus,unknown,NA,24.5
Mentodus eubranchus,unknown,NA,11.4
Mentodus facilis,unknown,NA,12.5
Mentodus longirostris,unknown,NA,20.2
Mentodus mesalirus,unknown,NA,22.2
Mentodus perforatus,unknown,NA,24.9
Mentodus rostratus,unknown,NA,32.2
Menziesichthys bacescui,unknown,NA,NA
Mephisto fraserbrunneri,unknown,NA,NA
Merlangius merlangus,medium,3110,91.5
Merluccius albidus,medium,NA,40.6
Merluccius angustimanus,high,NA,40
Merluccius australis,medium,NA,155
Merluccius bilinearis,low,2300,76
Merluccius capensis,high,NA,140
Merluccius gayi gayi,low,NA,87
Merluccius gayi peruanus,high,NA,68
Merluccius hernandezi,medium,NA,NA
Merluccius hubbsi,medium,NA,95
Merluccius merluccius,high,15000,140
Merluccius paradoxus,medium,NA,115
Merluccius patagonicus,medium,NA,56.2
Merluccius polli,high,NA,80
Merluccius productus,low,1190,91
Merluccius senegalensis,high,NA,81
Merluccius tasmanicus,medium,NA,37
Merodoras nheco,NA,NA,7
Mesobius antipodum,medium,NA,66
Mesobius berryi,medium,NA,39.2
Mesoborus crocodilus,unknown,NA,25
Mesocottus haitej,low,NA,20
Mesogobio lachneri,unknown,NA,14.2
Mesogobio tumenensis,unknown,NA,15.1
Mesogobius batrachocephalus,very high,600,35
Mesogobius nigronotatus,very high,NA,6
Mesogobius nonultimus,very high,NA,NA
Mesoheros atromaculatus,unknown,NA,25
Mesoheros festae,unknown,NA,25
Mesoheros gephyrus,unknown,NA,12
Mesoheros ornatus,unknown,NA,26
Mesonauta acora,unknown,NA,7.1
Mesonauta egregius,unknown,NA,8.2
Mesonauta festivus,unknown,97.41,12.1
Mesonauta guyanae,unknown,NA,10
Mesonauta insignis,unknown,NA,9.4
Mesonauta mirificus,unknown,NA,9.7
Mesonoemacheilus herrei,unknown,NA,NA
Mesonoemacheilus pambarensis,unknown,NA,NA
Mesonoemacheilus remadevii,NA,NA,5.9
Mesopotamichthys sharpeyi,unknown,800,42.7
Mesopristes argenteus,unknown,NA,30
Mesopristes cancellatus,unknown,NA,23
Mesopristes elongatus,unknown,NA,16
Mesopristes iravi,unknown,NA,22.31
Mesopristes kneri,unknown,NA,NA
Metahomaloptera longicauda,NA,NA,4.35
Metahomaloptera omeiensis,unknown,NA,6
Metaloricaria nijsseni,unknown,NA,29.5
Metaloricaria paucidens,unknown,NA,27
Metavelifer multiradiatus,unknown,NA,28
Metelectrona ahlstromi,high,NA,NA
Metelectrona herwigi,high,NA,5.5
Metelectrona ventralis,high,NA,10.7
Meteoria erythrops,unknown,NA,7.5
Metynnis altidorsalis,unknown,NA,11.2
Metynnis argenteus,unknown,NA,13.96
Metynnis cuiaba,NA,NA,14.25
Metynnis fasciatus,unknown,NA,5.8
Metynnis guaporensis,unknown,180.1,16
Metynnis hypsauchen,unknown,NA,18
Metynnis lippincottianus,unknown,205.37,16.4
Metynnis longipinnis,NA,NA,6.65
Metynnis luna,unknown,102,12.9
Metynnis maculatus,unknown,NA,18
Metynnis mola,unknown,NA,15
Metynnis orinocensis,unknown,NA,NA
Metynnis otuquensis,unknown,NA,8.7
Metynnis polystictus,NA,NA,16.7
Metzia alba,NA,NA,NA
Metzia bounthobi,NA,NA,6.1
Metzia formosae,unknown,NA,7.3
Metzia hautus,unknown,NA,NA
Metzia lineata,unknown,NA,10
Metzia longinasus,NA,NA,12.85
Metzia mesembrinum,unknown,NA,4.8
Metzia parva,NA,NA,5.77
Meuschenia australis,unknown,NA,30
Meuschenia flavolineata,unknown,NA,30
Meuschenia freycineti,unknown,NA,60
Meuschenia galii,unknown,NA,34
Meuschenia hippocrepis,unknown,NA,51
Meuschenia scaber,high,NA,31
Meuschenia trachylepis,unknown,NA,40
Meuschenia venusta,unknown,NA,21
Micracanthicus vandragti,NA,NA,4.22
Micralestes acutidens,unknown,2,9
Micralestes ambiguus,unknown,NA,4.6
Micralestes argyrotaenia,unknown,NA,9.1
Micralestes comoensis,unknown,NA,6.8
Micralestes congicus,unknown,NA,6.4
Micralestes eburneensis,unknown,NA,8.93
Micralestes elongatus,unknown,NA,6
Micralestes fodori,unknown,NA,3.24
Micralestes holargyreus,unknown,NA,8
Micralestes humilis,unknown,NA,10.6
Micralestes lualabae,unknown,NA,9.2
Micralestes occidentalis,unknown,NA,8
Micralestes pabrensis,unknown,NA,5.2
Micralestes sardina,unknown,NA,9.5
Micralestes schelly,NA,NA,4.89
Micralestes stormsi,unknown,NA,10
Micralestes vittatus,unknown,NA,9
Micrenophrys lilljeborgii,low,NA,7.4
Microbrotula andersoni,NA,NA,NA
Microbrotula bentleyi,unknown,NA,4
Microbrotula geraldalleni,NA,NA,4.1
Microbrotula greenfieldi,NA,NA,3.05
Microbrotula hamata,NA,NA,NA
Microbrotula punicea,NA,NA,NA
Microbrotula queenslandica,unknown,NA,3.12
Microbrotula rubra,unknown,NA,NA
Microcambeva barbata,unknown,NA,2.6
Microcambeva draco,NA,NA,NA
Microcambeva ribeirae,unknown,NA,4.81
Microcanthus strigatus,unknown,NA,16
Microcharacidium eleotrioides,unknown,NA,2.1
Microcharacidium geryi,unknown,NA,2.4
Microcharacidium gnomus,unknown,NA,2.2
Microcharacidium weitzmani,unknown,NA,1.2
Microchirus azevia,very high,NA,40
Microchirus boscanion,very high,NA,20
Microchirus frechkopi,very high,NA,20
Microchirus ocellatus,very high,NA,20
Microchirus theophila,very high,NA,46
Microchirus variegatus,very high,NA,35
Microchirus wittei,very high,NA,25
Microcobitis misgurnoides,unknown,NA,4.1
Microcottus matuaensis,low,NA,8.13
Microcottus sellaris,low,NA,13
Microctenopoma ansorgii,unknown,NA,5.4
Microctenopoma congicum,unknown,NA,6.19
Microctenopoma damasi,unknown,NA,7
Microctenopoma fasciolatum,unknown,NA,8
Microctenopoma intermedium,unknown,NA,6.2
Microctenopoma lineatum,unknown,NA,5.58
Microctenopoma milleri,unknown,NA,4.5
Microctenopoma nanum,unknown,NA,6.67
Microctenopoma nigricans,unknown,NA,6.8
Microctenopoma ocellifer,unknown,NA,4.5
Microctenopoma pekkolai,unknown,NA,3.6
Microctenopoma uelense,unknown,NA,5.95
Microdesmus aethiopicus,unknown,NA,5.74
Microdesmus affinis,unknown,NA,NA
Microdesmus africanus,unknown,NA,7.45
Microdesmus bahianus,unknown,NA,5.12
Microdesmus carri,unknown,NA,5.3
Microdesmus dipus,unknown,NA,8.8
Microdesmus dorsipunctatus,unknown,NA,NA
Microdesmus hildebrandi,NA,NA,NA
Microdesmus intermedius,NA,NA,NA
Microdesmus knappi,NA,NA,NA
Microdesmus lanceolatus,unknown,NA,6
Microdesmus longipinnis,unknown,NA,27
Microdesmus luscus,unknown,NA,4.59
Microdesmus multiradiatus,NA,NA,NA
Microdesmus retropinnis,unknown,NA,11
Microdesmus suttkusi,unknown,NA,10.45
Microdevario gatesi,unknown,NA,2.3
Microdevario kubotai,unknown,NA,1.9
Microdevario nana,unknown,NA,1.52
Microgadus proximus,very high,NA,30.5
Microgadus tomcod,low,NA,38.1
Microgenys lativirgata,unknown,NA,7.1
Microgenys minuta,unknown,NA,4.5
Microgenys weyrauchi,unknown,NA,2.8
Microglanis ater,unknown,NA,8.1
Microglanis carlae,NA,NA,3.41
Microglanis cibelae,unknown,NA,7.1
Microglanis cottoides,unknown,NA,6.75
Microglanis eurystoma,unknown,6.8,7.76
Microglanis garavelloi,unknown,NA,4.18
Microglanis iheringi,unknown,NA,6
Microglanis leptostriatus,NA,NA,4.23
Microglanis lundbergi,NA,NA,2.77
Microglanis maculatus,NA,NA,3.65
Microglanis malabarbai,unknown,NA,5.01
Microglanis minutus,NA,NA,2.97
Microglanis nigripinnis,unknown,NA,4.72
Microglanis oliveirai,NA,NA,2.63
Microglanis parahybae,unknown,NA,8
Microglanis pataxo,unknown,NA,3.9
Microglanis pellopterygius,unknown,NA,6.81
Microglanis poecilus,unknown,NA,6.9
Microglanis robustus,NA,NA,2.33
Microglanis secundus,unknown,NA,4
Microglanis variegatus,unknown,NA,4.5
Microglanis xylographicus,NA,NA,2.78
Microglanis zonatus,unknown,NA,2
Micrognathus andersonii,unknown,NA,8.5
Micrognathus brevicorpus,NA,NA,7.32
Micrognathus brevirostris,unknown,NA,67.5
Micrognathus crinitus,unknown,NA,15
Micrognathus erugatus,unknown,NA,NA
Micrognathus micronotopterus,unknown,NA,5.7
Micrognathus natans,unknown,NA,6
Micrognathus pygmaeus,unknown,NA,6
Microgobius brevispinis,very high,NA,10
Microgobius carri,very high,NA,10
Microgobius crocatus,very high,NA,10
Microgobius curtus,very high,NA,10
Microgobius cyclolepis,very high,NA,10
Microgobius emblematicus,very high,NA,10
Microgobius erectus,very high,NA,10
Microgobius gulosus,very high,NA,7.5
Microgobius meeki,very high,NA,10
Microgobius microlepis,very high,NA,10
Microgobius miraflorensis,very high,NA,5
Microgobius signatus,very high,NA,6
Microgobius tabogensis,very high,NA,10
Microgobius thalassinus,very high,NA,6.4
Microgobius urraca,NA,NA,6.94
Microichthys coccoi,unknown,NA,3
Microichthys sanzoi,unknown,NA,6
Microlepidogaster arachas,NA,NA,4.34
Microlepidogaster bourguyi,unknown,NA,NA
Microlepidogaster dimorpha,NA,NA,3.77
Microlepidogaster discontenta,NA,NA,4.02
Microlepidogaster discus,NA,NA,4.64
Microlepidogaster longicolla,NA,NA,4.64
Microlepidogaster perforata,unknown,NA,5
Microlepidotus brevipinnis,medium,NA,40
Microlepidotus inornatus,medium,NA,45
Microlipophrys adriaticus,unknown,NA,5
Microlipophrys bauchotae,unknown,NA,4.35
Microlipophrys caboverdensis,unknown,NA,4
Microlipophrys canevae,unknown,NA,7.5
Microlipophrys dalmatinus,unknown,NA,5.8
Microlipophrys nigriceps,unknown,NA,4.3
Microlipophrys velifer,unknown,NA,5.78
Microlophichthys andracanthus,NA,NA,1.7
Microlophichthys microlophus,unknown,NA,NA
Micromesistius australis,medium,850,90
Micromesistius poutassou,low,830,55.5
Micrometrus aurora,unknown,NA,18
Micrometrus minimus,unknown,NA,16
Micromischodus sugillatus,unknown,NA,17
Micromoema xiphophora,unknown,NA,6
Micromyzon akamai,unknown,NA,1.58
Micronema hexapterus,unknown,NA,24
Micronema moorei,unknown,NA,24
Micronema platypogon,unknown,NA,17.63
Micronemacheilus zispi,unknown,NA,7.04
Micropanchax antinorii,unknown,NA,4.5
Micropanchax bracheti,unknown,NA,3
Micropanchax camerunensis,unknown,NA,3
Micropanchax ehrichi,unknown,NA,4
Micropanchax fuelleborni,unknown,NA,3.5
Micropanchax hutereaui,unknown,NA,3.5
Micropanchax johnstoni,unknown,NA,8.5
Micropanchax keilhacki,unknown,NA,2.5
Micropanchax kingii,unknown,NA,3.5
Micropanchax loati,unknown,NA,4
Micropanchax pfaffi,unknown,NA,3.5
Micropanchax rudolfianus,unknown,NA,3
Micropanchax scheeli,unknown,NA,4
Micropercops borealis,unknown,NA,NA
Micropercops cinctus,unknown,NA,8
Micropercops dabryi,unknown,NA,10
Micropercops hotayensis,NA,NA,NA
Micropercops swinhonis,NA,NA,NA
Microphilypnus acangaquara,NA,NA,1.41
Microphilypnus amazonicus,unknown,NA,2.4
Microphilypnus macrostoma,unknown,NA,2
Microphilypnus ternetzi,unknown,NA,2
Microphis aculeatus,unknown,NA,20
Microphis argulus,unknown,NA,15
Microphis brachyurus,unknown,NA,22
Microphis brevidorsalis,unknown,NA,11.5
Microphis caudocarinatus,unknown,NA,6.8
Microphis cruentus,unknown,NA,15.5
Microphis cuncalus,unknown,NA,17.5
Microphis deocata,unknown,NA,15
Microphis dunckeri,unknown,NA,12
Microphis fluviatilis,unknown,NA,21
Microphis leiaspis,unknown,NA,19
Microphis lineatus,unknown,NA,19.4
Microphis manadensis,unknown,NA,20
Microphis mento,unknown,NA,15
Microphis millepunctatus,unknown,NA,22
Microphis ocellatus,unknown,NA,12.5
Microphis pleurostictus,unknown,NA,15
Microphis retzii,unknown,NA,14.5
Microphis spinachioides,unknown,NA,15
Microphotolepis multipunctata,unknown,NA,NA
Microphotolepis schmidti,unknown,NA,7.2
Microphysogobio alticorpus,unknown,NA,6.3
Microphysogobio amurensis,unknown,NA,11.5
Microphysogobio anudarini,unknown,NA,NA
Microphysogobio brevirostris,unknown,NA,9
Microphysogobio chenhsienensis,unknown,NA,8.3
Microphysogobio chinssuensis,unknown,NA,6.4
Microphysogobio elongatus,unknown,NA,7.73
Microphysogobio exilicauda,NA,NA,7.11
Microphysogobio fukiensis,unknown,13.5,11.2
Microphysogobio hsinglungshanensis,NA,NA,NA
Microphysogobio jeoni,unknown,NA,11.1
Microphysogobio kachekensis,unknown,NA,6.69
Microphysogobio kiatingensis,unknown,NA,12
Microphysogobio koreensis,unknown,NA,12
Microphysogobio labeoides,unknown,NA,9.2
Microphysogobio liaohensis,unknown,NA,6.3
Microphysogobio linghensis,unknown,NA,4.8
Microphysogobio longidorsalis,unknown,NA,12
